  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  2.198234095906886031E-003  9.999999999999995559E-001 -6.938893903907228378E-018 -1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804533939E-001  1.980326101230848179E-001  7.704752308573488140E-001
  2.226999343290088536E-003  9.999999999999998890E-001  1.734723475976807094E-018  4.857225732735059864E-017  0.000000000000000000E+000  9.685078409804532829E-001  1.979186388830623811E-001  7.705892020973704737E-001
  2.255609472903983767E-003  9.999999999999997780E-001 -2.081668171172168513E-017  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804543931E-001  1.978063741371995365E-001  7.707014668432350391E-001
  2.284104835821918096E-003  9.999999999999995559E-001 -5.377642775528101993E-017 -6.591949208711866959E-017  0.000000000000000000E+000  9.685078409804546151E-001  1.977247084448158221E-001  7.707831325356186980E-001
  2.312496067335175452E-003  1.000000000000000000E+000  1.040834085586084257E-017 -6.938893903907228378E-017  0.000000000000000000E+000  9.685078409804583899E-001  1.976699714353238324E-001  7.708378695451134632E-001
  2.340752418699651970E-003  1.000000000000000444E+000 -2.428612866367529932E-017 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804579458E-001  1.976132934499665317E-001  7.708945475304708195E-001
  2.368939001156477285E-003  9.999999999999994449E-001  5.898059818321144121E-017 -4.163336342344337027E-017  0.000000000000000000E+000  9.685078409804595001E-001  1.975922643087523189E-001  7.709155766716869751E-001
  2.397001416759758814E-003  9.999999999999984457E-001 -1.387778780781445676E-017  1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804598332E-001  1.975764501496469761E-001  7.709313908307914298E-001
  2.425021203911120055E-003  9.999999999999988898E-001  3.989863994746656317E-017 -3.122502256758252770E-017  0.000000000000000000E+000  9.685078409804642741E-001  1.975654339085831657E-001  7.709424070718562394E-001
  2.452938514105353768E-003  1.000000000000000444E+000 -1.734723475976807094E-018 -2.775557561562891351E-017  0.000000000000000000E+000  9.685078409804792621E-001  1.975802849399107552E-001  7.709275560405324246E-001
  2.480829261426440759E-003  1.000000000000000444E+000  6.245004513516505540E-017 -7.285838599102589797E-017  0.000000000000000000E+000  9.685078409804843691E-001  1.975842137621668382E-001  7.709236272182770078E-001
  2.508625189459079939E-003  9.999999999999997780E-001 -2.602085213965210642E-017  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804845911E-001  1.976107498556850806E-001  7.708970911247594593E-001
  2.536399049312999809E-003  1.000000000000000000E+000 -3.989863994746656317E-017  2.428612866367529932E-017  0.000000000000000000E+000  9.685078409804868116E-001  1.976433760369666337E-001  7.708644649434820417E-001
  2.564084309655289586E-003  1.000000000000001332E+000 -1.040834085586084257E-017 -4.857225732735059864E-017  0.000000000000000000E+000  9.685078409804853683E-001  1.976782001838854885E-001  7.708296407965624653E-001
  2.591748665471792744E-003  1.000000000000000444E+000 -1.214306433183764966E-017 -7.979727989493312634E-017  0.000000000000000000E+000  9.685078409804556143E-001  1.977297959263504823E-001  7.707780450540755446E-001
  2.619354356641263350E-003  9.999999999999998890E-001  6.938893903907228378E-018 -3.816391647148975608E-017  0.000000000000000000E+000  9.685078409804614985E-001  1.977675486096372448E-001  7.707402923707895592E-001
  2.646929180388343274E-003  9.999999999999992228E-001  1.214306433183764966E-017 -4.163336342344337027E-017  0.000000000000000000E+000  9.685078409804568356E-001  1.978243179596487766E-001  7.706835230207786935E-001
  2.674484892194241639E-003  9.999999999999992228E-001  1.908195823574487804E-017  6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804582789E-001  1.978710330427463637E-001  7.706368079376805236E-001
  2.702020377135578265E-003  1.000000000000000666E+000 -2.081668171172168513E-017  1.040834085586084257E-016  0.000000000000000000E+000  9.685078409804595001E-001  1.979310116955383947E-001  7.705768292848922396E-001
  2.729569181232787724E-003  1.000000000000000444E+000 -1.908195823574487804E-017 -7.632783294297951215E-017  0.000000000000000000E+000  9.685078409804590560E-001  1.979886697286503405E-001  7.705191712517797109E-001
  2.757099800314284296E-003  9.999999999999995559E-001 -2.949029909160572061E-017 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804608324E-001  1.980406304825394759E-001  7.704672104978922409E-001
  2.784647007966190545E-003  9.999999999999997780E-001 -2.255140518769849223E-017 -7.632783294297951215E-017  0.000000000000000000E+000  9.685078409804701582E-001  1.981003084551376525E-001  7.704075325252952577E-001
  2.812180169929967728E-003  1.000000000000000666E+000  2.949029909160572061E-017 -2.428612866367529932E-017  0.000000000000000000E+000  9.685078409804703803E-001  1.981471427454783441E-001  7.703606982349521237E-001
  2.839716665564521840E-003  9.999999999999993339E-001 -6.938893903907228378E-017  1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804713795E-001  1.982099461676154473E-001  7.702978948128502701E-001
  2.867223215606284036E-003  9.999999999999987788E-001 -5.551115123125782702E-017  1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804707134E-001  1.982508150088208021E-001  7.702570259716461365E-001
  2.894691439834362091E-003  1.000000000000000888E+000  3.295974604355933479E-017 -2.775557561562891351E-017  0.000000000000000000E+000  9.685078409804701582E-001  1.983015580497369812E-001  7.702062829307315672E-001
  2.922131372502548459E-003  1.000000000000000666E+000  1.908195823574487804E-017 -3.469446951953614189E-017  0.000000000000000000E+000  9.685078409804765975E-001  1.983357766973314340E-001  7.701720642831368924E-001
